strategy,TMR_sum,FD_sum,GHG_sum
200,-283821256.0670339,10298241.249925474,2231206906.8716846
201,-286283111.53016067,10298265.339067526,2231389627.8279095
202,-288744942.6403168,10298287.951147199,2231571492.0311427
203,37284479.95625182,10677095.01475355,2290381704.1399508
204,32484561.425708495,10655283.093504155,2285692193.506458
205,27762662.381893914,10633822.226187976,2281079199.1871243
206,23115091.396951772,10612706.926533371,2276538609.8267865
207,18540619.33528635,10591923.490992779,2272069804.811892
208,14038082.014904764,10571458.742453905,2267671241.658982
209,9604544.792850094,10551308.827825176,2263339964.1344976
210,5237640.995214517,10531467.500349289,2259073930.3045278
211,936394.2384815544,10511922.09204506,2254871774.2230606
212,-3301752.95117846,10492666.907565879,2250731754.0169497
213,-7477230.589847475,10473692.23435231,2246652923.8430166
214,-11592187.120602978,10454990.211020473,2242632909.1320553
215,-15649114.710540477,10436557.958499692,2238669934.5906677
216,-19648182.58330543,10418384.87227026,2234763376.491713
217,-23591369.162526924,10400466.39066747,2230911497.174464
218,-27480303.273783367,10382793.765519857,2227112726.118541
219,-31316270.78911708,10365367.604074039,2223365552.1811724
220,-35100342.443897195,10348174.220086625,2219669206.2044053
221,-38833877.62546563,10331209.733528927,2216022315.9691653
222,-42517535.552444085,10314470.12522641,2212424095.507783
223,-46153747.74019946,10297950.6123079,2208872273.2181087
224,-49742817.99403719,10281647.792478414,2205366578.649655
225,-53284671.16228122,10265545.60117134,2201906826.759484
226,-56782670.52757539,10249655.0623056,2198490417.16364
227,-60236335.40497063,10233961.37647106,2195116788.2890825
228,-63647120.45562088,10218464.251282837,2191785242.208491
229,-67016751.09606092,10203159.942647101,2188494039.531873
230,-70344405.52630357,10188039.760726873,2185244015.957018
231,-73631726.82815427,10173101.349675769,2182033149.185473
232,-76880286.37857711,10158343.786136148,2178860217.9312882
233,-80090226.08517183,10143760.253923433,2175724915.305433
234,-83262357.39567144,10129346.967913477,2172626617.957206
235,-86397599.47196878,10115100.72008066,2169564620.1930447
236,-89496993.429613,10101019.138523718,2166537813.1416564
237,-92561429.5563051,10087100.460549673,2163544760.2442513
238,-95590253.65288557,10073336.597146222,2160586448.693781
239,-98586127.24437481,10059729.439269943,2157660568.4256954
240,-101548061.41196382,10046271.549396431,2154768109.6366572
241,-104477883.63928956,10032960.965390695,2151906577.1141515
242,-107375229.0994558,10019795.34228858,2149077104.255542
243,-110241737.94561681,10006775.78879655,2146277369.7648044
244,-113077502.11959584,9993892.020966202,2143507987.4503145
245,-115882991.37396605,9981147.01794542,2140768245.916724
246,-118659399.37849504,9968537.769188939,2138056705.849578
247,-121406493.8310645,9956058.80251832,2135374075.104912
248,-124124661.53863832,9943708.489213776,2132719587.3170967
249,-126815666.64547601,9931487.354461297,2130091825.6521845
250,-129477445.2434514,9919383.169481661,2127491862.0097952
251,-132115179.97710183,9907411.709667573,2124916605.7314425
252,-134724570.6902373,9895554.435975347,2122368100.25595
253,-137308283.63569346,9883814.270467676,2119845095.0478292
254,-139866574.34002045,9872190.829066094,2117346925.5860403
255,-142400423.07080558,9860684.851741122,2114872484.0760746
256,-144910095.60059804,9849291.637682203,2112421858.1483214
257,-147394272.02670413,9838001.916742865,2109996024.580095
258,-149854984.84687245,9826822.796243276,2107593258.2090902
259,-152292603.131091,9815748.957244048,2105212868.652994
260,-154707487.26149505,9804781.740540357,2102854778.4857225
261,-157099770.92310703,9793916.70952014,2100518671.016659
262,-159469247.29135594,9783147.849514809,2098204955.5548766
263,-161817749.81345102,9772484.28706472,2095911941.4425676
264,-164144708.3232774,9761915.480444957,2093639820.1744714
265,-166450140.41493955,9751442.911558215,2091388786.4404972
266,-168734889.9779184,9741062.464363728,2089157898.0443957
267,-170999933.96997848,9730780.824283868,2086946314.2233503
